,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ClosestHospital,ClosestGrocery,ClosestParks,ClosestWhole
1989,PAST SALE,,Single Family Residential,5000 Ready Ave,Baltimore,MD,21212,175000,,2.5,,1752.0,4996.0,1920.0,,100.0,,,,,https://www.redfin.com/MD/Baltimore/5000-Ready-Ave-21212/home/11196189,,,N,Y,39.3493073,-76.6089807,2.1147793325396598,0.5158454856924132,1.2335522303041189,1.2094209653820687
1990,PAST SALE,,Townhouse,3339 Dolfield Ave,Baltimore,MD,21215,180000,,2.0,,1644.0,4340.0,1941.0,,109.0,,,,,https://www.redfin.com/MD/Baltimore/3339-Dolfield-Ave-21215/home/10905541,,,N,Y,39.3317317,-76.6720084,2.388379477812492,3.257892762758256,2.4938576999772457,3.578538517770546
1991,PAST SALE,September-7-2021,Single Family Residential,1215 Maiden Choice Ln,Baltimore,MD,21229,270000,3.0,2.0,LEEDS,1344.0,9360.0,1942.0,,201.0,,Sold,,,https://www.redfin.com/MD/Baltimore/1215-Maiden-Choice-Ln-21229/home/9374014,BRIGHT MLS,MDBC2005208,N,Y,39.2599802,-76.6922176,2.0356880949462104,5.606639943498147,4.735648409616353,8.408031379339956
1992,PAST SALE,,Single Family Residential,303 Taplow Rd,Baltimore,MD,21212,549995,,2.5,,2879.0,8955.0,1929.0,,191.0,,,,,https://www.redfin.com/MD/Baltimore/303-Taplow-Rd-21212/home/11152015,,,N,Y,39.3606411,-76.6149497,2.4122083243104275,0.8517759887257732,1.8221841129133483,2.546016036190758
1993,PAST SALE,February-14-2022,Townhouse,28 E Fort Ave,Baltimore,MD,21230,385000,3.0,2.5,Ward 23,1966.0,,1900.0,,196.0,,Sold,,,https://www.redfin.com/MD/Baltimore/28-E-Fort-Ave-21230/home/11014405,BRIGHT MLS,MDBA2023328,N,Y,39.2728514,-76.6128059,1.9795205634279132,1.621239329955505,0.576141147820747,1.621239329955505
1994,PAST SALE,,Townhouse,1309 Bolton St,Baltimore,MD,21217,450000,,2.5,,2460.0,1425.0,1900.0,,183.0,,,,,https://www.redfin.com/MD/Baltimore/1309-Bolton-St-21217/home/10832921,,,N,Y,39.3058529,-76.6243592,0.7681823127252756,0.5853451818263216,1.1284628990226244,1.8706736636580563
1995,PAST SALE,March-4-2022,Townhouse,426 N Luzerne Ave,Baltimore,MD,21224,200000,3.0,2.0,Ward 6,1372.0,,1910.0,,146.0,,Sold,,,https://www.redfin.com/MD/Baltimore/426-N-Luzerne-Ave-21224/home/10754227,BRIGHT MLS,MDBA2028572,N,Y,39.2962675,-76.5809346,0.8720842852363299,2.163716567575754,0.6840099795620513,2.1377130323181848
1996,PAST SALE,,Townhouse,2648 Hampden Ave,Baltimore,MD,21211,295000,,2.0,,1260.0,1050.0,1912.0,,234.0,,,,,https://www.redfin.com/MD/Baltimore/2648-Hampden-Ave-21211/home/10841805,,,N,Y,39.3190575,-76.6233217,1.4051026078129611,0.6366529083936638,0.5900179930895073,1.4501210034093355
1997,PAST SALE,,Townhouse,412 E Lanvale St,Baltimore,MD,21202,292500,,2.0,,1599.0,866.0,1917.0,,183.0,,,,,https://www.redfin.com/MD/Baltimore/412-E-Lanvale-St-21202/home/25798131,,,N,Y,39.3091376,-76.6099581,0.7928088812551022,0.8131357357309644,1.7604019194443588,0.798800008944764
1998,PAST SALE,March-25-2022,Single Family Residential,5302 Elsrode Ave,Baltimore,MD,21214,269900,3.0,2.0,Ward 27,1236.0,7845.0,1926.0,,218.0,,Sold,,,https://www.redfin.com/MD/Baltimore/5302-Elsrode-Ave-21214/home/11186250,BRIGHT MLS,MDBA2012908,N,Y,39.3523676,-76.5660494,1.9165316552783753,1.4817039547619306,3.9346924221553783,3.8806346317822067
1999,PAST SALE,,Townhouse,6003 The Alameda,Baltimore,MD,21239,151900,3.0,2.0,,1314.0,2375.0,1953.0,,116.0,,,,,https://www.redfin.com/MD/Baltimore/6003-The-Alameda-21239/home/11203815,,,N,Y,39.3662388,-76.5931935,1.055558007250659,1.7820331615021014,3.3638318135101444,3.320077730831774
2000,PAST SALE,,Townhouse,3213 N Calvert St,Baltimore,MD,21218,325000,,1.0,,1620.0,2180.0,1924.0,,201.0,,,,,https://www.redfin.com/MD/Baltimore/3213-N-Calvert-St-21218/home/10854569,,,N,Y,39.3274746,-76.6145661,0.23705588894501767,0.09047254829313787,0.16616479394514905,1.3707428626833118
2001,PAST SALE,April-2-2021,Single Family Residential,3102 Beverly Rd,Baltimore,MD,21214,295000,3.0,2.5,Ward 27,1225.0,7497.0,1929.0,,241.0,,Sold,,,https://www.redfin.com/MD/Baltimore/3102-Beverly-Rd-21214/home/11122263,BRIGHT MLS,MDBA541214,N,Y,39.3392864,-76.5692658,2.585901789075727,0.189979421658086,2.725259838455024,3.285667569556593
